"geocodigo","demanda_total","n_personas"
"13113071001",558648864.330279,4162
"13113071002",505387026.700036,5330
"13113071003",453896003.160558,4745
"13113071004",316732227.502612,2110
"13113071005",671904694.99253,4996
"13113071006",404760033.972678,4121
"13113991999",16343564.2591939,127
"13114011001",949823417.204427,3999
"13114011002",814797097.853584,4011
"13114011003",771537398.254517,3172
"13114011004",324854034.775114,1369
"13114011005",521458829.824019,2204
"13114011006",417831690.092887,1790
"13114011007",685437503.65764,2748
"13114011008",935692086.176465,3940
"13114011009",828408462.012072,3646
"13114021001",831198685.327242,3834
"13114021002",900595204.083022,3987
"13114021003",562545105.148676,2595
"13114021004",861426832.667555,3833
"13114031001",640574948.042195,2996
"13114031002",621109178.426837,2941
"13114031003",770692625.605128,3432
"13114031004",662478841.643192,2944
"13114031005",679773714.238335,2960
"13114031006",596436498.691631,2390
"13114031007",467203514.223426,1900
"13114041001",1075453000.14486,4794
"13114041002",1052460020.37016,5036
"13114041003",1340674592.53962,6301
"13114051001",916078033.391655,4135
"13114051002",898781921.475344,4187
"13114051003",653223058.549175,2875
"13114051004",622588573.79638,2999
"13114061001",742491931.993546,3596
"13114061002",667772737.674765,3196
"13114071001",819768458.799824,5403
"13114071002",999851907.751783,4454
"13114071003",893803931.170633,4115
"13114071004",1507308918.74815,6636
"13114081001",705204029.903979,3303
"13114081002",815281301.031416,3821
"13114081003",855504328.814782,3903
"13114081004",831916525.067241,4092
"13114081005",612184082.52551,3163
"13114091001",751592030.087523,3532
"13114091002",825355955.599999,3980
"13114091003",822421196.539402,3971
"13114091004",917697790.189709,4122
"13114101001",853284145.744843,3937
"13114101002",745971648.606145,3446
"13114101003",806330081.979153,3707
"13114101004",929362155.707795,4428
"13114101005",1013895742.394,4799
"13114111001",821952162.399863,3468
"13114111002",819840605.494876,3773
"13114111003",863626406.79172,3914
"13114111004",705675223.960905,2922
"13114111005",593358068.837717,2703
"13114111006",712029874.647295,3055
"13114111007",606757240.062207,2877
"13114121001",737429613.349107,3210
"13114121002",844154976.306607,3757
"13114121003",723812647.59627,3293
"13114121004",487759966.585235,2278
"13114121005",733543096.891058,3401
"13114121006",551824629.180405,2657
"13114121007",778249396.081841,3409
"13114131001",496621486.087815,2297
"13114131002",446421578.387197,1878
"13114131003",502464702.299654,2149
"13114131004",622726800.379444,2702
"13114131005",686881592.961768,3227
"13114131006",720793692.658882,3324
"13114131007",614788123.40403,2698
"13114131008",636145665.890328,2885
"13114131009",590522308.133983,2515
"13114131010",546808583.024917,2417
"13114141001",895833762.382055,5627
"13114141002",591473122.51137,3948
"13114141003",1090294563.12217,6288
"13114141004",467925680.798327,3208
"13114151001",1626279521.41535,7112
"13114151002",1246529908.90495,5419
"13114151003",1071835371.32363,4708
"13114161001",811002937.830732,3830
"13114161002",506545568.493642,2295
"13114161003",946436363.486983,4464
"13114161004",810854244.72542,4046
"13114991999",99505879.9926876,462
"13115011001",957419231.722123,5228
"13115011002",701767099.468623,3891
"13115011003",479822287.813303,2784
"13115011004",764793041.962169,5091
"13115011005",458313233.802238,2434
"13115011006",925024038.700931,4824
"13115011007",903785806.974895,4830
"13115011008",1180510279.56983,6406
"13115011009",835906761.090691,4412
"13115011010",1535362472.99816,8150
"13115011011",781608586.772553,4259
"13115011012",1043229899.35056,5655
"13115012005",4022389.43273093,37
"13115021001",483920234.714536,3535
"13115021002",837287884.242379,5029
"13115021003",678429817.185399,4009
"13115021004",195068797.69682,1250
"13115021005",691397875.024607,5675
"13115022001",18448916.5706041,105
"13115022901",14503786.8438292,109
"13115032002",20824986.5924348,171
"13115032003",13291016.2123604,109
"13115032004",4675183.70385887,37
"13115032006",191022541.1189,1624
"13115032007",29986393.1370908,222
"13115032008",18405320.794546,194
"13115032901",27291460.70958,291
"13115041001",659336147.01009,5258
"13115041002",433172037.711065,3656
"13115041003",631825860.622136,4514
"13115041004",1253861649.72166,6640
"13115041005",582937642.245494,5343
"13115991999",11959597.3596029,61
"13116011001",86805998.3598901,4895
"13116011002",67082360.2810874,3599
"13116011003",87209222.8472573,4535
"13116011004",105228881.656852,5167
"13116011005",58046003.0316411,3079
"13116021001",114233812.13782,6227
"13116021002",101298656.46834,5527
"13116031001",90201498.2222414,5018
"13116031002",76099396.1464812,4328
"13116031003",78194904.2190198,4216
"13116031004",50140597.8352549,2837
"13116041001",68614173.7612947,3872
"13116041002",65549260.0498497,3732
"13116041003",66706063.963284,3900
"13116041004",79337182.0606375,4449
"13116051001",36164900.5966106,2096
"13116051002",62444643.4051825,3500
"13116061001",47872390.9645516,2800
"13116061002",73546358.4162105,4109
"13116061003",63539944.5461653,3531
"13116071001",55234416.0823156,3105
"13116071002",55890351.6100538,3109
"13116071003",103696833.214757,5492
"13116071004",101516973.447998,5469
"13116071005",1801920.58744147,50
"13116991999",2312234.09594982,162
"13117011001",68274790.0996564,3410
"13117011002",78824867.4241933,3860
"13117011003",63819796.2841479,3358
"13117011004",51063132.4335182,2752
"13117021001",59320433.8681774,3026
"13117021002",42966392.936788,2178
